incident_id,company_name,company_revenue_usd,country_hq,industry_primary,industry_secondary,employee_count,is_public_company,stock_ticker,incident_date,incident_date_estimated,discovery_date,disclosure_date,attack_vector_primary,attack_vector_secondary,attack_chain,attributed_group,attribution_confidence,data_compromised_records,data_type,systems_affected,downtime_hours,data_source_primary,data_source_secondary,data_source_type,confidence_tier,quality_score,quality_grade,review_flag,notes,created_at,updated_at
2021-0711-001,ShopSave Distribution Ltd.,4582351808.51,IN,44-45,,31015,True,SHOP.NS,2021-07-11,False,2021-07-26,2021-08-05,supply_chain,apt,,APT29,probable,,,manufacturing_OT,21.42,https://therecord.media/2021/04/28/shopsave-distribution-ltd-breached,https://www.ico.org.uk/decisions/2021/09/INQ-2021-00123,verified_media,4,73.31,Silver,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-0603-001,Tampa Trading Holdings Inc.,1429714841.91,MX,42,21,3839,False,,2025-06-03,False,2025-07-04,2025-08-05,ransomware,,Phishing email with weaponized attachment → credential theft via Mimikatz → lateral movement via RDP/SMB → Active Directory compromise → ransomware deployment across domain-joined hosts,Sandworm,probable,296640,credentials,email,,https://blog.talosintelligence.com/2025/06/tampa-trading-holdin-campaign.html,,cybersecurity_firm,3,69.31,Bronze,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-0705-001,Silver Onyx Properties Group PLC,9098707244.55,GB,53,,36890,True,SOP.L,2025-07-05,False,2025-08-09,2025-08-20,supply_chain,,Compromised third-party software update → trojanized DLL sideloaded → C2 beacon established → persistent access across customer environments,,,,,"SCADA,HR_systems,customer_database,email,ERP",1951.62,https://www.silver-onyx-properties-gr.com/newsroom/2025/10/security-update,,company_pr,2,91.34,Gold,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-0607-001,Zimmer Insurance Pty Ltd.,1288786592.98,AU,52,71,4831,False,,2023-06-07,True,2023-06-08,2023-07-23,ransomware,,Phishing email with weaponized attachment → credential theft via Mimikatz → lateral movement via RDP/SMB → Active Directory compromise → ransomware deployment across domain-joined hosts,APT28,suspected,3817,PII,"SCADA,SSO,website,customer_database",809.29,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001657286&type=8-K&dateb=20230715&owner=include&count=10,,sec_filing,1,94.55,Gold,,Employee count approximate; sourced from LinkedIn company page,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-1224-001,Frontier Orbit Partners Inc.,84444966558.55,US,52,,198753,False,,2024-12-24,False,2025-02-23,2025-03-18,data_breach,,Misconfigured cloud storage bucket discovered by automated scanner → bulk data download over 72 hours → data posted to dark web marketplace,,,950371,IP,"email,HR_systems,file_servers",,https://www.theregister.com/2024/12/11/frontier-orbit-partn_security_incident/,https://www.mandiant.com/resources/blog/frontier-orbit-partn-incident-response-2024,verified_media,4,68.74,Bronze,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-0828-001,Lambert Investments Co.,83698192457.46,US,52,,370679,True,LAMB,2025-08-28,False,2025-09-01,2025-12-07,supply_chain,backdoor,Compromised third-party software update → trojanized DLL sideloaded → C2 beacon established → persistent access across customer environments,,,,,active_directory,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001803533&type=8-K&dateb=20250613&owner=include&count=10,https://www.mandiant.com/resources/blog/lambert-investments--incident-response-2025,sec_filing,1,83.75,Silver,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-0224-001,Aldridge Security Holdings Co. Ltd.,561014195.46,JP,51,,973,False,,2024-02-24,True,2024-03-06,2024-05-10,ransomware,,,Akira,confirmed,54730,mixed,"CRM,ERP,payment_systems,backup_systems,SCADA",208.5,https://unit42.paloaltonetworks.com/threat-brief-aldridge-security-ho-2024/,https://www.ico.org.uk/decisions/2024/12/INQ-2024-00129,cybersecurity_firm,3,97.98,Gold,,Incident scope expanded during investigation; initial disclosure understated impact,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-0317-001,Okonkwo Retail Holdings PLC,20153961059.2,GB,44-45,,219647,True,OKON.L,2021-03-17,False,2021-03-27,2021-04-28,apt,ddos,Zero-day exploit in edge device → fileless implant in memory → scheduled task persistence → low-and-slow data staging → encrypted exfiltration over DNS tunneling,Scattered_Spider,suspected,1000,mixed,"website,email,ERP,backup_systems",19.97,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001813537&type=8-K&dateb=20211213&owner=include&count=10,,sec_filing,1,79.81,Silver,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-0817-001,Mantis Mart Retail Corp.,2964964626.61,US,44-45,62,34495,False,,2021-08-17,False,2021-10-16,2021-10-26,ransomware,supply_chain,,BlackCat/ALPHV,suspected,4814,mixed,"backup_systems,VPN,payment_systems,HR_systems,manufacturing_OT",91.87,https://www.crowdstrike.com/blog/mantis-mart-retail-c-intrusion-analysis-2021/,,cybersecurity_firm,3,70.67,Silver,,Incident date based on forensic timeline reconstruction (+-2 days),2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-0618-001,SignalProto Labs Holdings Co. Ltd.,1679705893.91,JP,51,61,4652,False,,2023-06-18,False,2023-07-20,2023-09-22,ransomware,,Phishing email with weaponized attachment → credential theft via Mimikatz → lateral movement via RDP/SMB → Active Directory compromise → ransomware deployment across domain-joined hosts,Lazarus_Group,probable,29072,mixed,"SCADA,SSO,VPN",66.62,https://www.bleepingcomputer.com/news/security/signalproto-labs-holdings-hit-by-cyberattack-2023/,,verified_media,4,99.2,Gold,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-0823-001,Limerick Innovations DAC,37943169.83,IE,51,,97,False,,2023-08-23,False,2023-08-26,2023-10-18,trojan,,Drive-by download from compromised ad network → remote access trojan deployment → keylogger activation → credential theft → lateral movement to file servers,,,,,payment_systems,,https://www.limerick-innovations-dac.com/newsroom/2023/02/security-update,https://www.aepd.es/decisions/2023/02/INQ-2023-00133,company_pr,1,78.26,Silver,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-0918-001,Brooks Shipping Co.,1256819153.77,US,48-49,,5418,False,,2023-09-18,False,2023-12-18,2024-01-09,data_breach,,Misconfigured cloud storage bucket discovered by automated scanner → bulk data download over 72 hours → data posted to dark web marketplace,Conti,suspected,,,"CRM,manufacturing_OT,backup_systems,file_servers",,https://www.aepd.es/decisions/2023/12/INQ-2023-00134,,gdpr_notification,1,91.73,Gold,,Partial remediation completed within 48h; full recovery took 10 days,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-0119-001,Bordeaux Pharmaceuticals SA,49602479.2,FR,62,31-33,364,False,,2024-01-19,False,2024-04-22,2024-06-06,malware,,Trojanized installer via SEO-poisoned download → fileless PowerShell execution → registry run-key persistence → credential dumping via LSASS → data staged for exfil,Conti,probable,45596,financial,"active_directory,ERP",,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001493563&type=8-K&dateb=20240508&owner=include&count=10,https://www.crowdstrike.com/blog/bordeaux-pharmaceuti-intrusion-analysis-2024/,sec_filing,1,74.02,Silver,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-0718-002,Forge Jasper Pharmaceuticals PLC,117666689.77,GB,62,31-33,615,True,FJP.L,2024-07-18,False,2024-07-19,2024-09-04,ransomware,,,Rhysida,suspected,72588,IP,"cloud_infrastructure,ERP,VPN",133.52,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001120607&type=8-K&dateb=20240525&owner=include&count=10,,sec_filing,1,54.92,Bronze,low_quality_score,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-0220-001,Ember Sequoia Retail Inc.,3109876651.3,US,44-45,,18523,False,,2023-02-20,False,2023-02-25,2023-03-31,data_breach,,Misconfigured cloud storage bucket discovered by automated scanner → bulk data download over 72 hours → data posted to dark web marketplace,,,185765,PII,"file_servers,backup_systems,cloud_infrastructure,HR_systems,ERP",,https://www.theregister.com/2023/02/16/ember-sequoia-retail_security_incident/,,verified_media,4,65.74,Bronze,,Concurrent with public CVE disclosure (CVE-2023-2023-13984),2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2022-0127-001,LinkStream Technologies Ltd.,386002286.79,AU,51,,1022,False,,2022-01-27,False,2022-02-27,2022-05-31,phishing,data_breach,Spear-phishing campaign targeting finance team → credential harvesting through cloned SSO portal → email account compromise → BEC wire transfer or data exfiltration,,,1146019,mixed,"CRM,customer_database,active_directory",,https://www.bleepingcomputer.com/news/security/linkstream-technologies-l-hit-by-cyberattack-2022/,,verified_media,4,90.33,Gold,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-0824-001,Baltic Scope Communications Ltd.,3393197926.28,IN,51,,8648,False,,2023-08-24,False,2023-08-26,2023-09-09,apt,phishing,Zero-day exploit in edge device → fileless implant in memory → scheduled task persistence → low-and-slow data staging → encrypted exfiltration over DNS tunneling,Hive,suspected,101695,financial,"ERP,CRM,manufacturing_OT,customer_database",269.96,https://www.baltic-scope-communicatio.com/newsroom/2023/01/security-update,,company_pr,2,79.6,Silver,,Multiple subsidiaries affected across 3 jurisdictions,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2022-0425-001,Fox Indigo Office Co.,1259513234.94,BE,92,,14843,False,,2022-04-25,False,2022-04-28,2022-05-17,supply_chain,ddos,,,,,,"customer_database,ERP,website,SSO",,https://www.cnil.fr/decisions/2022/06/INQ-2022-00140,,gdpr_notification,1,67.82,Bronze,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-0102-001,Bravo Eagle Products Holdings Inc.,215021949.95,US,31-33,,1379,True,BEP,2021-01-02,False,2021-04-03,2021-05-20,malware,,,,,216824,PII,"customer_database,ERP,file_servers",,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001444420&type=8-K&dateb=20210616&owner=include&count=10,,sec_filing,1,61.97,Bronze,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-1009-001,Sierra Node Ventures SA,48578250641.23,CH,51,,121295,True,SNV.SW,2023-10-09,False,2023-10-27,2023-11-18,data_breach,,Misconfigured cloud storage bucket discovered by automated scanner → bulk data download over 72 hours → data posted to dark web marketplace,FIN11,suspected,73464,financial,file_servers,,https://www.mandiant.com/resources/blog/sierra-node-ventures-incident-response-2023,,cybersecurity_firm,3,82.66,Silver,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-1230-001,Newcastle Analytics Pty Ltd.,622598311.4,AU,51,,1593,True,NEWC.AX,2023-12-30,False,2024-01-07,2024-01-15,phishing,,Spear-phishing campaign targeting finance team → credential harvesting through cloned SSO portal → email account compromise → BEC wire transfer or data exfiltration,Sandworm,confirmed,24550,mixed,"SSO,ERP,CRM,cloud_infrastructure,VPN",,https://www.bfdi.bund.de/decisions/2023/11/INQ-2023-00143,https://www.crowdstrike.com/blog/newcastle-analytics--intrusion-analysis-2023/,gdpr_notification,1,86.57,Gold,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-0309-001,FreshDeal Distribution Group Inc.,101768528.34,US,44-45,,654,False,,2023-03-09,False,2023-03-18,2023-04-23,ransomware,,,Sandworm,suspected,,,"ERP,VPN,email,customer_database",2.83,https://www.bleepingcomputer.com/news/security/freshdeal-distribution-gr-hit-by-cyberattack-2023/,,verified_media,4,89.43,Gold,,Third-party managed service provider was initial entry point,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-0907-001,Beacon Keystone Consulting Co.,36563845.84,US,54,,193,False,,2025-09-07,False,2025-09-09,2025-10-02,apt,supply_chain,Zero-day exploit in edge device → fileless implant in memory → scheduled task persistence → low-and-slow data staging → encrypted exfiltration over DNS tunneling,,,559177,health,SCADA,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001861127&type=8-K&dateb=20250423&owner=include&count=10,,sec_filing,1,86.58,Gold,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-0203-001,Pittsburgh Works Inc.,6795850282.82,US,31-33,,33318,True,PITT,2023-02-03,False,2023-02-14,2023-03-07,ransomware,,Phishing email with weaponized attachment → credential theft via Mimikatz → lateral movement via RDP/SMB → Active Directory compromise → ransomware deployment across domain-joined hosts,,,218135,PII,"VPN,active_directory,email,file_servers,SSO",,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001716881&type=8-K&dateb=20230125&owner=include&count=10,https://www.mandiant.com/resources/blog/pittsburgh-works-inc-incident-response-2023,sec_filing,1,89.11,Gold,,Data exfiltration confirmed via dark web monitoring service,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-1212-001,Quartz Pacific Genomics SA,197106682.24,FR,62,,2426,False,,2025-12-12,False,2025-12-30,2026-02-20,apt,,Zero-day exploit in edge device → fileless implant in memory → scheduled task persistence → low-and-slow data staging → encrypted exfiltration over DNS tunneling,,,3364858,PII,"SCADA,active_directory",26.08,https://unit42.paloaltonetworks.com/threat-brief-quartz-pacific-genom-2025/,https://www.quartz-pacific-genomics-s.com/newsroom/2025/09/security-update,cybersecurity_firm,3,79.67,Silver,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-0220-001,SparkAmp Power Corp.,1883762059.25,JP,22,,4166,True,SPAR.T,2025-02-20,False,2025-08-19,2025-08-22,supply_chain,,Compromised third-party software update → trojanized DLL sideloaded → C2 beacon established → persistent access across customer environments,,,,,HR_systems,64.9,https://www.ico.org.uk/decisions/2025/07/INQ-2025-00148,,gdpr_notification,1,71.71,Silver,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-1118-001,Eriksson Health Holdings Inc.,436944048.87,US,62,,4880,True,ERIK,2025-11-18,False,2026-02-20,2026-03-04,ransomware,ddos,Phishing email with weaponized attachment → credential theft via Mimikatz → lateral movement via RDP/SMB → Active Directory compromise → ransomware deployment across domain-joined hosts,,,227736,IP,SCADA,96.91,https://www.eriksson-health-holdings-.com/newsroom/2025/06/security-update,https://www.aepd.es/decisions/2025/05/INQ-2025-00149,company_pr,2,82.03,Silver,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-0509-001,Walsh Labs Group Inc.,47043518396.06,US,62,,438475,True,WALS,2025-05-09,False,2025-05-15,2025-07-03,apt,phishing,Zero-day exploit in edge device → fileless implant in memory → scheduled task persistence → low-and-slow data staging → encrypted exfiltration over DNS tunneling,Vice_Society,probable,,,"SSO,file_servers,SCADA",40.41,https://www.walsh-labs-group-inc.com/newsroom/2025/02/security-update,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001615377&type=8-K&dateb=20250909&owner=include&count=10,company_pr,2,83.07,Silver,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-1210-001,Sendai Communications Holdings Co. Ltd.,189416510.56,JP,51,,633,True,SEN1.T,2025-12-10,False,2025-12-16,2026-01-05,trojan,,Drive-by download from compromised ad network → remote access trojan deployment → keylogger activation → credential theft → lateral movement to file servers,,,813937,PII,"website,SCADA,email,payment_systems",,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001955927&type=8-K&dateb=20251001&owner=include&count=10,,sec_filing,1,99.5,Gold,,Company undergoing M&A at time of incident; financial attribution complex,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-1219-001,Monroe Group SAS,2311636729.32,FR,72,,26070,True,MONR.PA,2025-12-19,True,2026-03-21,2026-05-20,ransomware,,Phishing email with weaponized attachment → credential theft via Mimikatz → lateral movement via RDP/SMB → Active Directory compromise → ransomware deployment across domain-joined hosts,Sandworm,suspected,51025,credentials,"cloud_infrastructure,ERP,customer_database,file_servers,VPN",39.54,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001693390&type=8-K&dateb=20251016&owner=include&count=10,,sec_filing,1,96.59,Gold,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2022-0115-001,Horizon Current Power Corp.,289070432.92,US,22,,1006,False,,2022-01-15,False,2022-02-02,2022-02-20,ransomware,,Phishing email with weaponized attachment → credential theft via Mimikatz → lateral movement via RDP/SMB → Active Directory compromise → ransomware deployment across domain-joined hosts,BlackBasta,suspected,394094,PII,"website,payment_systems,backup_systems,active_directory",16.86,https://www.mandiant.com/resources/blog/horizon-current-powe-incident-response-2022,,cybersecurity_firm,3,54.37,Bronze,low_quality_score,Revenue estimated from Dun & Bradstreet industry median,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2022-0620-001,Harbor Granite Assurance AG,67581877.51,DE,52,,158,False,,2022-06-20,False,2022-09-19,2022-12-28,phishing,,Spear-phishing campaign targeting finance team → credential harvesting through cloned SSO portal → email account compromise → BEC wire transfer or data exfiltration,REvil,probable,115134,PII,"SCADA,email,cloud_infrastructure,website",,https://www.cnil.fr/decisions/2022/01/INQ-2022-00154,,gdpr_notification,1,72.49,Silver,,Employee count approximate; sourced from LinkedIn company page,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-0116-001,ProPremier Partners Ltd.,511812112.08,SG,54,,1843,False,,2023-01-16,False,2023-01-28,2023-03-05,malware,,Trojanized installer via SEO-poisoned download → fileless PowerShell execution → registry run-key persistence → credential dumping via LSASS → data staged for exfil,,,8880469,credentials,"backup_systems,manufacturing_OT,customer_database,payment_systems",,https://www.aepd.es/decisions/2023/06/INQ-2023-00155,https://www.mandiant.com/resources/blog/propremier-partners--incident-response-2023,gdpr_notification,1,80.46,Silver,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2022-0629-001,Atlanta Engineering Corp.,5440226346.48,PT,31-33,,18223,True,ATLA.LS,2022-06-29,False,2022-10-01,2022-11-08,ransomware,supply_chain,Phishing email with weaponized attachment → credential theft via Mimikatz → lateral movement via RDP/SMB → Active Directory compromise → ransomware deployment across domain-joined hosts,,,19879,mixed,cloud_infrastructure,,https://www.bfdi.bund.de/decisions/2022/11/INQ-2022-00156,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001626040&type=8-K&dateb=20220510&owner=include&count=10,gdpr_notification,1,93.46,Gold,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-0313-001,Haifa Therapeutics Ltd.,18764843673.93,IL,62,,109966,True,HAIF.TA,2023-03-13,False,2023-04-14,2023-06-07,phishing,supply_chain,Spear-phishing campaign targeting finance team → credential harvesting through cloned SSO portal → email account compromise → BEC wire transfer or data exfiltration,,,15655,mixed,ERP,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001349682&type=8-K&dateb=20231104&owner=include&count=10,,sec_filing,1,61.25,Bronze,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-1116-001,RemedyCella Medical SA,77492399.37,FR,62,51,415,False,,2025-11-16,False,2025-12-16,2025-12-21,phishing,trojan,Spear-phishing campaign targeting finance team → credential harvesting through cloned SSO portal → email account compromise → BEC wire transfer or data exfiltration,Conti,suspected,5203,PII,"SSO,website",,https://www.theregister.com/2025/10/22/remedycella-medical-_security_incident/,,verified_media,4,76.44,Silver,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-0802-001,SmartQuick Trading Holdings Inc.,53013440.4,CA,44-45,,357,False,,2021-08-02,False,2021-10-02,2021-10-10,ransomware,,Phishing email with weaponized attachment → credential theft via Mimikatz → lateral movement via RDP/SMB → Active Directory compromise → ransomware deployment across domain-joined hosts,Turla,unknown,11469312,mixed,"payment_systems,email,customer_database,file_servers",140.01,https://www.bleepingcomputer.com/news/security/smartquick-trading-holdin-hit-by-cyberattack-2021/,https://www.aepd.es/decisions/2021/06/INQ-2021-00159,verified_media,4,81.72,Silver,large_breach_verify,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-0202-001,Valor Consult Advisory Holdings Inc.,36280230.44,US,54,,125,False,,2025-02-02,False,2025-02-05,2025-02-09,phishing,,Spear-phishing campaign targeting finance team → credential harvesting through cloned SSO portal → email account compromise → BEC wire transfer or data exfiltration,Hive,probable,253301,financial,"manufacturing_OT,website,SSO,payment_systems,cloud_infrastructure",,https://www.valor-consult-advisory-ho.com/newsroom/2025/05/security-update,https://www.aepd.es/decisions/2025/07/INQ-2025-00160,company_pr,2,93.73,Gold,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-0311-001,Harrington Stores Group PLC,63514125551.35,GB,44-45,,388347,True,HARR.L,2024-03-11,False,2024-05-13,2024-06-02,ddos,,Multi-vector botnet activation → volumetric UDP reflection (900 Gbps peak) → application-layer HTTP/2 flood → 18-hour service degradation,BlackCat/ALPHV,confirmed,,,"manufacturing_OT,file_servers,email,website,payment_systems",,https://www.edpb.europa.eu/decisions/2024/12/INQ-2024-00161,,gdpr_notification,1,89.32,Gold,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-1226-001,CastComponent Industrial Group SA,89373233.0,FR,31-33,,284,False,,2025-12-26,True,2026-02-24,2026-03-11,apt,,Zero-day exploit in edge device → fileless implant in memory → scheduled task persistence → low-and-slow data staging → encrypted exfiltration over DNS tunneling,FIN7,probable,49243,health,"active_directory,cloud_infrastructure,payment_systems",148.94,https://www.aepd.es/decisions/2025/04/INQ-2025-00162,,gdpr_notification,1,81.0,Silver,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2022-1002-001,ReserveSecura Group Holdings Ltd.,409011049.14,IN,52,,1108,True,RESE.NS,2022-10-02,False,2022-11-01,2023-01-03,data_breach,malware,Misconfigured cloud storage bucket discovered by automated scanner → bulk data download over 72 hours → data posted to dark web marketplace,APT41,probable,18853,PII,"active_directory,cloud_infrastructure,HR_systems,ERP,VPN",,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001215860&type=8-K&dateb=20220518&owner=include&count=10,,sec_filing,1,75.32,Silver,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-1214-001,PublicBorough Agency GmbH,483890032.57,DE,92,,4203,False,,2025-12-14,False,2025-12-25,2026-01-17,data_breach,,Misconfigured cloud storage bucket discovered by automated scanner → bulk data download over 72 hours → data posted to dark web marketplace,,,377861,mixed,"ERP,website,VPN",,https://unit42.paloaltonetworks.com/threat-brief-publicborough-agency-2025/,https://www.publicborough-agency-gmbh.com/newsroom/2025/11/security-update,cybersecurity_firm,3,89.6,Gold,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-1217-001,Polaris Noble Logistics Holdings Inc.,1206339366.45,US,48-49,,5128,True,PNL,2021-12-17,False,2022-01-03,2022-02-02,phishing,supply_chain,,NoName057,unknown,54963,credentials,"ERP,backup_systems,manufacturing_OT",,https://www.polaris-noble-logistics-h.com/newsroom/2021/04/security-update,https://www.mandiant.com/resources/blog/polaris-noble-logist-incident-response-2021,company_pr,2,52.85,Bronze,low_quality_score,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-0705-001,Rossi Learning Co.,895536291.0,US,61,,10767,False,,2023-07-05,False,2023-08-08,2023-08-21,ransomware,,,,,1399411,credentials,"file_servers,backup_systems,ERP",83.59,https://www.bleepingcomputer.com/news/security/rossi-learning-co-hit-by-cyberattack-2023/,https://blog.talosintelligence.com/2023/05/rossi-learning-co-campaign.html,verified_media,4,85.51,Gold,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-0929-001,LiveMedia Productions Group Inc.,456009014.89,MY,71,,2182,False,,2021-09-29,False,2021-12-31,2022-01-20,data_breach,phishing,Misconfigured cloud storage bucket discovered by automated scanner → bulk data download over 72 hours → data posted to dark web marketplace,,,,,"ERP,CRM,email,backup_systems,file_servers",,https://www.theregister.com/2021/07/21/livemedia-production_security_incident/,,verified_media,4,81.29,Silver,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2022-0910-001,MetroCivic Department Group PLC,15370303302.14,GB,92,71,140613,False,,2022-09-10,False,2022-09-21,2022-10-29,phishing,,Spear-phishing campaign targeting finance team → credential harvesting through cloned SSO portal → email account compromise → BEC wire transfer or data exfiltration,APT41,suspected,,,"active_directory,manufacturing_OT",,https://www.edpb.europa.eu/decisions/2022/10/INQ-2022-00168,https://www.metrocivic-department-gro.com/newsroom/2022/02/security-update,gdpr_notification,1,91.58,Gold,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-0302-001,Silver Granite Freight Inc.,8048202471.9,CA,48-49,,59433,True,SGF.TO,2024-03-02,False,2024-03-19,2024-04-03,ddos,,,DarkSide,suspected,,,"CRM,ERP",55.71,https://www.mandiant.com/resources/blog/silver-granite-freig-incident-response-2024,,cybersecurity_firm,3,98.87,Gold,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-0507-001,Montpellier Healthcare SA,105038086.57,FR,62,,504,False,,2023-05-07,False,2023-06-06,2023-06-18,supply_chain,,Compromised third-party software update → trojanized DLL sideloaded → C2 beacon established → persistent access across customer environments,RansomHub,probable,,,"SCADA,active_directory,HR_systems,website",29.7,https://therecord.media/2023/09/25/montpellier-healthcare-sa-breached,https://www.montpellier-healthcare-sa.com/newsroom/2023/07/security-update,verified_media,4,73.88,Silver,,Incident scope expanded during investigation; initial disclosure understated impact,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-0412-001,SyncNet Dynamics Corp.,30158113950.05,US,51,,57888,True,SYNC,2023-04-12,False,2023-10-13,2023-10-30,trojan,data_breach,Drive-by download from compromised ad network → remote access trojan deployment → keylogger activation → credential theft → lateral movement to file servers,Vice_Society,probable,261104,mixed,"ERP,manufacturing_OT,active_directory,cloud_infrastructure,email",,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001809932&type=8-K&dateb=20230421&owner=include&count=10,,sec_filing,1,96.25,Gold,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-0113-001,Eagle Atlas Technologies Corp.,1551319568.58,US,51,62,3017,False,,2024-01-13,False,2024-01-21,2024-02-11,phishing,,Spear-phishing campaign targeting finance team → credential harvesting through cloned SSO portal → email account compromise → BEC wire transfer or data exfiltration,,,,,"SCADA,website,ERP,customer_database",,https://www.eagle-atlas-technologies-.com/newsroom/2024/08/security-update,,company_pr,2,73.46,Silver,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-1229-001,CountyCounty Administration Group Inc.,40112516843.5,US,92,51,617844,False,,2023-12-29,False,2024-01-16,2024-03-17,apt,,Zero-day exploit in edge device → fileless implant in memory → scheduled task persistence → low-and-slow data staging → encrypted exfiltration over DNS tunneling,Conti,probable,230489,mixed,"HR_systems,VPN",46.06,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001966755&type=8-K&dateb=20230524&owner=include&count=10,,sec_filing,1,89.84,Gold,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-1002-001,Houston Agency Inc.,9231932763.94,FI,92,,103974,False,,2024-10-02,False,2024-10-16,2024-10-26,phishing,backdoor,Spear-phishing campaign targeting finance team → credential harvesting through cloned SSO portal → email account compromise → BEC wire transfer or data exfiltration,Royal,probable,608591,mixed,"file_servers,SCADA,VPN",,https://www.houston-agency-inc.com/newsroom/2024/05/security-update,,company_pr,2,71.15,Silver,,Cross-border incident; primary filing in HHS-OCR jurisdiction,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-0609-001,Jasper Creative Studios Pty Ltd.,315567696.4,AU,71,,1677,True,JCS.AX,2023-06-09,False,2023-08-10,2023-09-18,ddos,,,,,,,"manufacturing_OT,cloud_infrastructure,SSO,CRM",129.43,https://www.jasper-creative-studios-p.com/newsroom/2023/06/security-update,https://unit42.paloaltonetworks.com/threat-brief-jasper-creative-stud-2023/,company_pr,2,93.4,Gold,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
